
mysql> select * from phrase_attempts;
+------+-----------+---------------------+------------------+
| id   | phrase_id | created_on          | correct          |
|  286 |        17 | 2025-02-14 22:16:45 | 0x01             |
|  287 |        38 | 2025-02-14 22:17:50 | 0x00             |
|  288 |        21 | 2025-02-14 22:17:57 | 0x01             |
|  289 |       121 | 2025-02-14 22:17:59 | 0x01             |
|  290 |       225 | 2025-02-14 22:18:15 | 0x00             |
|  291 |         3 | 2025-02-14 22:18:23 | 0x01             |
|  292 |       274 | 2025-02-14 22:18:32 | 0x01             |
|  293 |        15 | 2025-02-14 22:18:34 | 0x01             |
|  294 |       469 | 2025-02-14 22:19:20 | 0x00             |
|  295 |        21 | 2025-02-14 22:19:24 | 0x01             |
|  296 |        16 | 2025-02-14 22:19:28 | 0x01             |
|  297 |        14 | 2025-02-14 22:19:51 | 0x01             |
|  298 |       469 | 2025-02-15 08:49:01 | 0x00             |
|  299 |       408 | 2025-02-15 08:49:09 | 0x01             |
|  300 |        21 | 2025-02-15 08:49:19 | 0x01             |
|  301 |        28 | 2025-02-15 08:49:26 | 0x01             |
|  302 |        12 | 2025-02-15 08:49:31 | 0x01             |
|  303 |         6 | 2025-02-15 08:49:35 | 0x01             |
|  304 |         7 | 2025-02-15 08:49:41 | 0x01             |
|  305 |        16 | 2025-02-15 08:49:45 | 0x00             |
|  306 |        21 | 2025-02-15 08:50:00 | 0x01             |
|  307 |       117 | 2025-02-15 08:50:11 | 0x00             |
|  308 |        23 | 2025-02-15 08:50:17 | 0x01             |
|  309 |        15 | 2025-02-15 08:50:19 | 0x01             |
|  310 |        27 | 2025-02-15 08:50:28 | 0x00             |
|  311 |        16 | 2025-02-15 08:50:38 | 0x01             |
|  312 |       469 | 2025-02-15 08:50:53 | 0x00             |
|  313 |        18 | 2025-02-15 08:50:55 | 0x01             |
|  314 |        28 | 2025-02-15 08:50:59 | 0x01             |
|  315 |        10 | 2025-02-15 08:51:09 | 0x01             |
|  316 |         3 | 2025-02-15 08:51:20 | 0x01             |
|  317 |        23 | 2025-02-15 08:51:25 | 0x01             |
|  318 |         6 | 2025-02-15 08:51:28 | 0x01             |
|  319 |         2 | 2025-02-15 08:51:47 | 0x01             |
|  320 |       225 | 2025-02-15 08:51:55 | 0x00             |
|  321 |        21 | 2025-02-15 08:52:05 | 0x01             |
|  322 |       231 | 2025-02-15 08:52:09 | 0x01             |
|  323 |        27 | 2025-02-15 09:40:07 | 0x00             |
|  324 |        14 | 2025-02-15 09:40:17 | 0x01             |
|  325 |        81 | 2025-02-15 09:40:21 | 0x01             |
|  326 |       225 | 2025-02-15 09:48:17 | 0x01             |
|  327 |        38 | 2025-02-15 11:03:41 | 0x00             |
|  328 |         2 | 2025-02-15 11:03:45 | 0x01             |
|  329 |       408 | 2025-02-15 11:03:50 | 0x01             |
|  330 |        19 | 2025-02-15 11:03:53 | 0x01             |
|  331 |        21 | 2025-02-15 11:04:11 | 0x01             |
|  332 |       469 | 2025-02-15 11:04:24 | 0x00             |
|  333 |        16 | 2025-02-15 11:04:27 | 0x01             |
|  334 |       225 | 2025-02-15 11:04:40 | 0x01             |
|  335 |        14 | 2025-02-15 11:04:45 | 0x01             |
|  336 |        81 | 2025-02-15 11:04:48 | 0x01             |
|  337 |       408 | 2025-02-15 11:04:51 | 0x01             |
|  338 |         3 | 2025-02-15 11:41:50 | 0x01             |
|  339 |       430 | 2025-02-15 11:42:06 | 0x00             |
|  340 |       274 | 2025-02-15 11:42:15 | 0x00             |
|  341 |        81 | 2025-02-15 11:42:20 | 0x01             |
|  342 |         2 | 2025-02-15 11:42:27 | 0x01             |
|  343 |        23 | 2025-02-15 11:42:32 | 0x01             |
|  344 |         7 | 2025-02-15 11:42:55 | 0x01             |
|  345 |        14 | 2025-02-15 11:43:24 | 0x01             |
|  346 |        27 | 2025-02-15 11:43:35 | 0x00             |
|  347 |         1 | 2025-02-15 11:43:38 | 0x01             |
|  348 |        10 | 2025-02-15 11:52:14 | 0x01             |
|  349 |        23 | 2025-02-15 11:52:17 | 0x01             |
|  350 |        27 | 2025-02-15 11:52:22 | 0x01             |
|  351 |        38 | 2025-02-15 11:52:33 | 0x00             |
|  352 |        28 | 2025-02-15 11:52:38 | 0x01             |
|  353 |        13 | 2025-02-15 11:52:50 | 0x01             |
|  354 |        18 | 2025-02-15 11:52:53 | 0x01             |
|  355 |        21 | 2025-02-15 11:55:08 | 0x01             |
|  356 |       225 | 2025-02-15 11:55:22 | 0x00             |
|  357 |        17 | 2025-02-15 11:55:27 | 0x01             |
|  358 |        27 | 2025-02-15 11:55:30 | 0x01             |
|  359 |       225 | 2025-02-15 11:55:42 | 0x00             |
|  360 |       469 | 2025-02-15 11:55:51 | 0x00             |
|  361 |       339 | 2025-02-15 12:04:10 | 0x00             |
|  362 |        38 | 2025-02-15 12:04:22 | 0x01             |
|  363 |        21 | 2025-02-15 12:04:31 | 0x01             |
|  364 |       469 | 2025-02-15 12:04:41 | 0x00             |
|  365 |       317 | 2025-02-15 12:04:50 | 0x00             |
|  366 |         4 | 2025-02-15 12:04:55 | 0x01             |
|  367 |        23 | 2025-02-15 12:04:59 | 0x01             |
|  368 |        16 | 2025-02-15 12:05:06 | 0x00             |
|  369 |       303 | 2025-02-15 15:26:54 | 0x01             |
|  370 |        10 | 2025-02-15 15:27:02 | 0x01             |
|  371 |       274 | 2025-02-15 15:27:11 | 0x00             |
|  372 |       408 | 2025-02-15 15:27:17 | 0x01             |
|  373 |        81 | 2025-02-15 15:27:20 | 0x01             |
|  374 |       117 | 2025-02-15 15:27:26 | 0x00             |
|  375 |         3 | 2025-02-15 15:27:45 | 0x01             |
|  376 |       274 | 2025-02-15 15:27:56 | 0x01             |
|  377 |         8 | 2025-02-15 15:27:58 | 0x01             |
|  378 |       121 | 2025-02-15 15:28:00 | 0x01             |
|  379 |        27 | 2025-02-15 15:28:09 | 0x01             |
|  380 |       430 | 2025-02-15 16:53:25 | 0x01             |
|  381 |       231 | 2025-02-15 16:53:38 | 0x01             |
|  382 |        18 | 2025-02-15 16:53:41 | 0x01             |
|  383 |        16 | 2025-02-15 16:53:44 | 0x01             |
|  384 |        21 | 2025-02-15 16:53:47 | 0x01             |
|  385 |       117 | 2025-02-15 16:53:59 | 0x00             |
|  386 |        28 | 2025-02-15 16:54:03 | 0x01             |
|  387 |       317 | 2025-02-15 16:54:21 | 0x00             |
|  388 |       149 | 2025-02-15 16:54:26 | 0x01             |
|  389 |       339 | 2025-02-15 18:53:52 | 0x00             |
|  390 |       303 | 2025-02-15 20:06:29 | 0x01             |
|  391 |        23 | 2025-02-15 20:06:32 | 0x01             |
|  392 |        17 | 2025-02-15 20:06:40 | 0x01             |
|  393 |       469 | 2025-02-15 20:40:23 | 0x00             |
|  394 |       310 | 2025-02-15 22:10:21 | 0x00             |
|  395 |       339 | 2025-02-15 22:10:40 | 0x00             |
|  396 |       121 | 2025-02-15 22:10:43 | 0x01             |
|  397 |       408 | 2025-02-15 22:10:47 | 0x01             |
|  398 |       317 | 2025-02-15 22:11:08 | 0x01             |
|  399 |         7 | 2025-02-15 22:11:17 | 0x01             |
|  400 |         3 | 2025-02-15 22:11:25 | 0x01             |
|  401 |       231 | 2025-02-15 22:11:36 | 0x00             |
|  402 |         9 | 2025-02-15 22:11:42 | 0x01             |
|  403 |       430 | 2025-02-15 22:11:56 | 0x00             |
|  404 |       310 | 2025-02-15 22:12:15 | 0x00             |
|  405 |       303 | 2025-02-15 22:12:23 | 0x01             |
|  406 |        14 | 2025-02-15 22:12:42 | 0x01             |
|  407 |       310 | 2025-02-15 22:13:08 | 0x01             |
|  408 |        27 | 2025-02-15 22:13:16 | 0x01             |
|  409 |         3 | 2025-02-15 22:13:25 | 0x01             |
|  410 |       303 | 2025-02-15 22:13:39 | 0x01             |
|  411 |         8 | 2025-02-15 22:13:41 | 0x01             |
|  412 |         3 | 2025-02-15 22:13:48 | 0x01             |
|  413 |       117 | 2025-02-15 22:14:03 | 0x00             |
|  414 |        27 | 2025-02-15 22:14:13 | 0x01             |
|  415 |        14 | 2025-02-15 22:14:16 | 0x01             |
|  416 |       121 | 2025-02-15 22:14:18 | 0x01             |
|  417 |        13 | 2025-02-15 22:14:35 | 0x01             |
|  418 |       430 | 2025-02-15 22:15:05 | 0x00             |
|  419 |        27 | 2025-02-15 22:15:09 | 0x01             |
|  420 |       274 | 2025-02-15 22:15:17 | 0x00             |
